,Pollutant,Symbol,State,CAV_adoption,Year,Concern,Total Emmisions,UOM
Pollutant,,,,,,,,
Pollutant,Carbon Dioxide,CO2,VT,Top,2008.0,GHG,3631471.1850093002,TON
Pollutant,Carbon Monoxide,CO,VT,Top,2008.0,GHG,66710.129780172,TON
Pollutant,Chromium (VI),Cr VI,VT,Top,2008.0,Health,61.627562040262,LB
Pollutant,Manganese,Mn,VT,Top,2008.0,Health,30.472312864344,LB
Pollutant,Mercury,Hg,VT,Top,2008.0,Health,1.76157341059068,LB
Pollutant,Methane,CH4,VT,Top,2008.0,GHG,323.277605566341,TON
Pollutant,Nickel,Ni,VT,Top,2008.0,Health,63.97885994346,LB
Pollutant,Nitrogen Oxides,NOx,VT,Top,2008.0,Health,12212.253389313,TON
Pollutant,Nitrous Oxide,N2O,VT,Top,2008.0,GHG,163.548446030504,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,VT,Top,2008.0,Health,616.037089233219,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,VT,Top,2008.0,Health,477.092018685432,TON
Pollutant,Sulfur Dioxide,SO2,VT,Top,2008.0,Health,73.257463427726,TON
Pollutant,Volatile Organic Compounds,VOC,VT,Top,2008.0,Health,6273.6014306882,TON
Pollutant,Carbon Dioxide,CO2,MA,Top,2008.0,GHG,32404588.883425,TON
Pollutant,Carbon Monoxide,CO,MA,Top,2008.0,GHG,383819.927516816,TON
Pollutant,Chromium (VI),Cr VI,MA,Top,2008.0,Health,461.13276941354,LB
Pollutant,Manganese,Mn,MA,Top,2008.0,Health,239.5760398024,LB
Pollutant,Mercury,Hg,MA,Top,2008.0,Health,13.0550033720852,LB
Pollutant,Methane,CH4,MA,Top,2008.0,GHG,1996.57434710981,TON
Pollutant,Nickel,Ni,MA,Top,2008.0,Health,499.1629180544,LB
Pollutant,Nitrogen Oxides,NOx,MA,Top,2008.0,Health,84748.14175773,TON
Pollutant,Nitrous Oxide,N2O,MA,Top,2008.0,GHG,1251.649638618837,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,MA,Top,2008.0,Health,5557.98063634692,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,MA,Top,2008.0,Health,3941.0159288899,TON
Pollutant,Sulfur Dioxide,SO2,MA,Top,2008.0,Health,624.57896162459,TON
Pollutant,Volatile Organic Compounds,VOC,MA,Top,2008.0,Health,34481.415686612,TON
Pollutant,Carbon Dioxide,CO2,MD,Top,2008.0,GHG,30932200.730935,TON
Pollutant,Carbon Monoxide,CO,MD,Top,2008.0,GHG,455710.988329252,TON
Pollutant,Chromium (VI),Cr VI,MD,Top,2008.0,Health,476.57643042246,LB
Pollutant,Manganese,Mn,MD,Top,2008.0,Health,247.27544474064,LB
Pollutant,Mercury,Hg,MD,Top,2008.0,Health,13.505941881013,LB
Pollutant,Methane,CH4,MD,Top,2008.0,GHG,1893.31627480607,TON
Pollutant,Nickel,Ni,MD,Top,2008.0,Health,515.3230718926,LB
Pollutant,Nitrogen Oxides,NOx,MD,Top,2008.0,Health,95784.52978449,TON
Pollutant,Nitrous Oxide,N2O,MD,Top,2008.0,GHG,1385.55900742863,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,MD,Top,2008.0,Health,4729.71961303718,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,MD,Top,2008.0,Health,3618.80863573736,TON
Pollutant,Sulfur Dioxide,SO2,MD,Top,2008.0,Health,630.96006592116,TON
Pollutant,Volatile Organic Compounds,VOC,MD,Top,2008.0,Health,40821.29320657,TON
Pollutant,Carbon Dioxide,CO2,VA,Top,2008.0,GHG,46340771.2470319,TON
Pollutant,Carbon Monoxide,CO,VA,Top,2008.0,GHG,923380.2677822114,TON
Pollutant,Chromium (VI),Cr VI,VA,Top,2008.0,Health,694.0734145718146,LB
Pollutant,Manganese,Mn,VA,Top,2008.0,Health,363.539141628686,LB
Pollutant,Mercury,Hg,VA,Top,2008.0,Health,19.68141943269541,LB
Pollutant,Methane,CH4,VA,Top,2008.0,GHG,3910.239924397795,TON
Pollutant,Nickel,Ni,VA,Top,2008.0,Health,756.54733819571,LB
Pollutant,Nitrogen Oxides,NOx,VA,Top,2008.0,Health,180179.763805006,TON
Pollutant,Nitrous Oxide,N2O,VA,Top,2008.0,GHG,2526.986076731422,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,VA,Top,2008.0,Health,7336.549300464379,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,VA,Top,2008.0,Health,5552.880546837637,TON
Pollutant,Sulfur Dioxide,SO2,VA,Top,2008.0,Health,935.337891720199,TON
Pollutant,Volatile Organic Compounds,VOC,VA,Top,2008.0,Health,82607.8037772812,TON
Pollutant,Carbon Dioxide,CO2,WV,Bottom,2008.0,GHG,12261191.6765523,TON
Pollutant,Carbon Monoxide,CO,WV,Bottom,2008.0,GHG,254429.254793774,TON
Pollutant,Chromium (VI),Cr VI,WV,Bottom,2008.0,Health,173.2810125132716,LB
Pollutant,Manganese,Mn,WV,Bottom,2008.0,Health,95.390128501506,LB
Pollutant,Mercury,Hg,WV,Bottom,2008.0,Health,4.92087518553974,LB
Pollutant,Methane,CH4,WV,Bottom,2008.0,GHG,1127.326486544336,TON
Pollutant,Nickel,Ni,WV,Bottom,2008.0,Health,197.064770620048,LB
Pollutant,Nitrogen Oxides,NOx,WV,Bottom,2008.0,Health,51845.8397736455,TON
Pollutant,Nitrous Oxide,N2O,WV,Bottom,2008.0,GHG,599.704627003842,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,WV,Bottom,2008.0,Health,2000.1880525962,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,WV,Bottom,2008.0,Health,1565.3039583842317,TON
Pollutant,Sulfur Dioxide,SO2,WV,Bottom,2008.0,Health,240.945073301625,TON
Pollutant,Volatile Organic Compounds,VOC,WV,Bottom,2008.0,Health,22192.7734820845,TON
Pollutant,Carbon Dioxide,CO2,AL,Bottom,2008.0,GHG,35289549.3995628,TON
Pollutant,Carbon Monoxide,CO,AL,Bottom,2008.0,GHG,633900.3770732762,TON
Pollutant,Chromium (VI),Cr VI,AL,Bottom,2008.0,Health,496.6827064047748,LB
Pollutant,Manganese,Mn,AL,Bottom,2008.0,Health,268.495749686028,LB
Pollutant,Mercury,Hg,AL,Bottom,2008.0,Health,14.086491892672232,LB
Pollutant,Methane,CH4,AL,Bottom,2008.0,GHG,2666.1519639640173,TON
Pollutant,Nickel,Ni,AL,Bottom,2008.0,Health,556.115331867372,LB
Pollutant,Nitrogen Oxides,NOx,AL,Bottom,2008.0,Health,133827.7221848789,TON
Pollutant,Nitrous Oxide,N2O,AL,Bottom,2008.0,GHG,1637.6379480581795,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,AL,Bottom,2008.0,Health,5370.6046961819075,TON
